ID,TITLE,BEDROOMS,GUESTS,DESCRIPTION,AMENITIES,PRICE,RELATIVE-FILE-PATH,PUBLIC-IMAGES-LINK,NEIGHBORHOOD
ECMW-001,2 BR Apt in Old City Best Location,2,6,"Experience the authentic charm of Cartagena’s Old City in this 2-bedroom apartment, designed to comfortably accommodate up to six guests. Located just steps away from iconic landmarks, boutique shops, and a wealth of dining options, this apartment offers both convenience and comfort. Enjoy modern amenities, plenty of natural light, and a cozy atmosphere that makes it perfect for any vacation.
Accommodations: Up to 6 guests | 2 Bedrooms | 1 Double Bed, 2 Queen Beds | 2 Baths","A/C,WIFI,TV, Shower,Kitchen,Towels",From $116/night,public\images\villas\ECMW-001,https://drive.google.com/drive/folders/1KAG9OurBeNOb9eWc1mbYQnkEuYLhNVLb,Walled City
ECMW-01,Charming 3 Bedroom in the Old City,3,8,"Located in the heart of Cartagena's historic Old City, this charming three-bedroom apartment seamlessly blends colonial aesthetics with modern amenities. The spacious living area flows into a fully-equipped kitchen, ideal for relaxation and culinary endeavors. Each bedroom offers a comfortable retreat, with the master suite featuring a private balcony overlooking the vibrant streets. Guests enjoy exclusive access to San Diego Suites' pools, including a rooftop pool with stunning city views.
Accommodations: Up to 8 guests | 3 Bedrooms | 5 Beds | 3 Baths","A/C,WIFI,rooftop,pool",From $225/night,public\images\villas\ECMW-001,https://drive.google.com/drive/folders/1hcpGhz0y2QeY4GblMkPaMoAaFy_3KqY7,Walled City
ECMW-02,Beautiful 3 Bedroom Old City House,3,7,"Nestled within Cartagena's historic heart, this beautifully appointed three-bedroom house combines traditional charm with contemporary comforts. Just a short stroll from prominent plazas, markets, and dining establishments, guests can immerse themselves in the vibrant local culture. Unique features such as a private roof deck and jacuzzi elevate the experience, offering an exclusive retreat above the bustling city streets.
Accommodations: Up to 7 guests | 3 Bedrooms | Various Beds | 2 Baths","A/C,WIFI,rooftop,rooftop,jacuzzi",From $270/night,public\images\villas\ECMW-02,https://drive.google.com/drive/folders/1pwWlqYcCiFx02MmPReY-sjZVAv0uLso4,Walled City
ECMW-03,4 Bedroom Old City Beautiful House,4,10,"This inviting villa offers a perfect blend of comfort and luxury. Set in a prime location within the Old City, guests can enjoy the tranquility of a private pool and an open roof deck, ideal for relaxation and soaking up the sun. The villa's central location provides the convenience of being within walking distance to the city's top attractions while offering the beauty and privacy of a secluded home. Its thoughtful design ensures visitors experience the best of both worlds.
Accommodations: Up to 10 guests | 4 Bedrooms | 5 Beds | 4 Baths","A/C,WIFI,pool",From $540/night,public\images\villas\ECMW-03,https://drive.google.com/drive/folders/1-uA5i5fgXA2Bl3v_rxibQJ1q8gizrd97,Walled City
ECMW-05,4 BR Luxury Mansion in Best Location,4,11,"Situated in the heart of Cartagena's Old City, this newly renovated 4-bedroom mansion epitomizes luxury and convenience. Boasting modern amenities, the property features a private pool, a private jacuzzi, and rooftop views that ensure a lavish stay. Just a stone's throw away from delightful restaurants and historical sites, it is the ideal choice for guests wishing to experience the very best of Cartagena.
Accommodations: Up to 11 guests | 4 Bedrooms | 6 Beds | 4.5 Baths","A/C,WIFI,rooftop,pool,jacuzzi",From $630/night,public\images\villas\ECMW-05,https://drive.google.com/drive/folders/1xh2A3tsZ4HNRwLVKOUg4yk1Q9BzmsjLO,Walled City
ECMW-06,Luxury 4 Bedroom Old City House,4,12,"Nestled in the heart of Cartagena's Old City, this luxurious residence seamlessly blends traditional charm with modern comforts. Just steps away from popular plazas, supermarkets, bars, and restaurants, guests can indulge in the city's rich culture while enjoying the property's private roof deck, pool, and jacuzzi.
Accommodations: Up to 12 guests | 4 Bedrooms | 6 Beds | 4.5 Baths","A/C,WIFI,rooftop,pool,jacuzzi",From $765/night,public\images\villas\ECMW-06,https://drive.google.com/drive/folders/1kpdjfsfUvH0UzsgIS02J8iMdxwk4CWw-,Walled City
ECMW-07,Old City 4 Bedroom Mansion,4,14,"Situated in the heart of Cartagena's Old City, this private 4,000 sq. ft. mansion boasts both historical charm and modern luxury. With distinct colonial decor, the property offers guests access to a private pool, a rooftop jacuzzi with sweeping views, and the services of an on-site maid. Its central location places you within walking distance of the city's top attractions, making it an ideal choice for exploring Cartagena's rich culture.
Accommodations: Up to 14 guests | 4 Bedrooms | 6 Beds | 4.5 Baths","A/C,WIFI,rooftop,pool,jacuzzi",From $765/night,public\images\villas\ECMW-07,https://drive.google.com/drive/folders/17HeVv8GMUUgQcPxfRK9f4HTreQeavzBD,Walled City
ECMW-08,4 Bedroom Beautiful House in Old City,4,10,"Nestled in the heart of Cartagena's Old City, this newly renovated 4-bedroom property promises an unforgettable stay. The residence effortlessly blends contemporary comforts with historic charm, offering guests the luxury of private pools, rooftop views, and immediate access to the vibrant culture, sights, and flavors of this UNESCO World Heritage Site.
Accommodations: Up to 10 guests | 4 Bedrooms | 7 Beds | 4.5 Baths","A/C,WIFI,rooftop,pool,jacuzzi",From $810/night,public\images\villas\ECMW-08,https://drive.google.com/drive/folders/16-ka99wzcvnIi-rfLzqKryHR6ax2u_M8,Walled City
ECMW-10,4 Bedroom Luxury Villa in Old City,4,8,"Experience luxury and modernity nestled amidst the rich heritage of Cartagena's Old City. Situated right next to the vibrant Plaza Fernandez Madrid, this remarkable villa seamlessly blends contemporary finishes with colonial Colombian architecture. The property boasts a sprawling private pool, a sleek rooftop jacuzzi, and spacious en-suite bedrooms, making it the quintessential choice for those seeking an opulent stay in Cartagena's historic heart.
Accommodations: Up to 8 guests | 4 Bedrooms | 4 Beds | 4.5 Baths","A/C,WIFI,rooftop,pool,jacuzzi",From $1080/night,public\images\villas\ECMW-10,https://drive.google.com/drive/folders/1VJK7k0bGVxe7wxM5U0SDTy48-HDfxu6g,Walled City
ECMW-16,Beautiful 5 Bedroom House in Old City,5,13,"This luxurious property offers an authentic blend of classic colonial design with modern amenities. Nestled in the historic Old City, it boasts a rooftop jacuzzi, a private pool, and dedicated maid service, ensuring a comfortable and memorable stay. Proximity to Cartagena's renowned neighborhoods adds to its allure, providing guests with an opportunity to immerse themselves in the rich culture and vibrant life of the city.
Accommodations: Up to 13 guests | 5 Bedrooms | 7 Beds | 5.5 Baths","A/C,WIFI,rooftop,pool,jacuzzi",From $675/night,public\images\villas\ECMW-16,https://drive.google.com/drive/folders/1wdHRkIAl6QtmSLKqJcMdYDUlzgeXZmN7,Getsemani
